OBJECTID,R_NAME,R_CODE,Z_NAME,Z_CODE,W_NAME,W_CODE,RK_NAME,RK_CODE,COUNT,T_NAME,T_CODE,KK_CODE,UK_NAME,UK_CODE,UK_ID,KK_NAME,GlobalID,Shape__Area,Shape__Length
86,Tigray,1,North Western Tigray,101,Laelay Adiabo,10102,May Anbesa,10102013,7, ,0,0, , , , ,ff9ef71f-5cf8-452c-b5a1-cde17d03e3c0,63804189.7416992,43903.3633546765
87,Tigray,1,North Western Tigray,101,Laelay Adiabo,10102,Adi Abagi,10102014,9, ,0,0, , , , ,7e9a3ec5-24d6-4b69-85d4-9716e0f70737,84336138.8359375,44135.3418295246
88,Tigray,1,North Western Tigray,101,Laelay Adiabo,10102,Stada  Bora,10102015,7, ,0,0, , , , ,8a7ee2da-b543-4eca-9665-d341c32b9f0d,80664959.965332,72908.1249820183
89,Tigray,1,North Western Tigray,101,Laelay Adiabo,10102,Adi Negesti,10102016,6, ,0,0, , , , ,dd6e8b48-70df-4f21-8966-59982c3f9aaa,130847191.495117,64003.3308543401
90,Tigray,1,North Western Tigray,101,Laelay Adiabo,10102,Guba Goba,10102017,3, ,0,0, , , , ,fd530d95-e1ae-4a0d-a525-facbf1c1cabf,57003557.7001953,41043.9165438295
91,Tigray,1,North Western Tigray,101,Laelay Adiabo,10102,Stahayu,10102018,5, ,0,0, , , , ,fd3bab80-7da1-4bb5-8b68-71a54a151f0b,72047461.9658203,40480.530006599
92,Tigray,1,North Western Tigray,101,Laelay Adiabo,10102,Zelazele,10102019,7, ,0,0, , , , ,7f01926a-f3f9-49a1-bc8b-fdda87a677c6,93254739.4599609,50090.967875228
93,Tigray,1,North Western Tigray,101,Laelay Adiabo,10102,Semeret,10102020,5, ,0,0, , , , ,306291c4-e933-44ec-a059-3dc9b85511e1,59279252.4858398,47573.148192218
94,Tigray,1,North Western Tigray,101,Medebay Zana,10103,Nefasit,10103001,6, ,0,0, , , , ,73eb9356-de6e-4b79-b818-3c270d071b4c,85272704.5439453,62553.4411521232
95,Tigray,1,North Western Tigray,101,Medebay Zana,10103,Shame,10103002,5, ,0,0, , , , ,391f3b12-23be-4586-9a9b-da1544408b08,60381164.3212891,52946.7256306974
96,Tigray,1,North Western Tigray,101,Medebay Zana,10103,Tseada Leha,10103003,5, ,0,0, , , , ,5d3e0de2-370a-4079-a34e-4b9a3db9059b,30791617.1938477,36466.7546288073
